tracking_id	gene_id	gene_short_name	0_10_FPKM	0_12_FPKM	0_FPKM	10_25_FPKM	12_FPKM	21_25_FPKM	25_FPKM	3_FPKM	6_FPKM
YIL177W-A	YIL177W-A	YIL177W-A	0	0	0	0	0	0	0	0	0
YIR001C	YIR001C	SGN1	92.544	79.8305	91.979	75.2463	77.2803	87.6959	85.0131	80.8677	80.0065
YIR002C	YIR002C	MPH1	26.4962	24.3209	26.6258	24.6764	26.2425	24.0506	25.3994	26.4166	25.6263
YIR003W	YIR003W	AIM21	46.6769	41.4487	50.309	38.2868	38.7567	40.668	40.0946	43.3465	41.0173
YIR004W	YIR004W	DJP1	106.374	95.9746	97.5765	96.7603	97.7797	94.8641	96.5723	100.015	98.6309
YIR005W	YIR005W	IST3	59.9885	49.4791	52.6323	46.7674	46.445	42.2808	45.2499	47.6175	41.0796
YIR006C	YIR006C	PAN1	29.2372	39.5763	25.405	33.8325	39.2731	36.3452	39.2426	33.3844	38.725
YIR007W	YIR007W	YIR007W	5.98883	6.67141	7.15552	6.61427	8.04753	6.89472	8.44337	6.8328	7.04191
YIR008C	YIR008C	PRI1	57.8118	59.1541	61.9775	65.5239	55.5029	61.4488	54.4212	56.6792	55.9462
YIR009W	YIR009W	MSL1	77.0895	81.2197	106.811	73.5288	83.5149	86.7633	93.0315	79.2779	92.2062
YIR010W	YIR010W	DSN1	32.6154	37.0532	28.3679	31.2672	30.7414	36.3912	32.5654	30.6985	33.709
YIR011C	YIR011C	STS1	130.806	134.604	149.39	151.125	152.007	128.792	148.28	142.051	148.965
YIR012W	YIR012W	SQT1	351.03	354.685	320.605	337.003	323.179	329.562	338.177	316.764	330.073
YIR013C	YIR013C	GAT4	1.47127	5.12723	2.59996	2.96158	2.84257	2.64943	3.38486	3.27119	4.99347
YIR014W	YIR014W	YIR014W	6.55481	6.4444	8.38878	7.55935	7.03571	6.25027	7.3307	6.52226	7.84349
YIR015W	YIR015W	RPR2	54.0009	52.4998	48.576	58.3071	45.3042	64.9689	49.4515	46.513	47.8048
YIR016W	YIR016W	YIR016W	42.4045	51.4377	40.1187	59.7265	37.9153	55.1519	36.8182	37.172	38.0231
YIR017C	YIR017C	MET28	0.663819	0.578337	0.167582	0.167029	0.142504	0.448272	0.33938	0.163992	0.519922
YIR017W-A	YIR017W-A	YIR017W-A	9.1728	4.60043	7.16035	6.68119	4.92289	5.7053	3.85661	4.91977	4.88413
YIR018C-A	YIR018C-A	YIR018C-A	170.315	170.641	266.577	214.272	168.186	161.018	130.612	193.546	195.647
YIR018W	YIR018W	YAP5	23.4502	14.816	24.0643	15.99	19.8868	16.823	21.7359	22.3326	22.5497
YIR019C	YIR019C	MUC1	3.62763	1.68168	2.11934	1.15639	1.73641	1.97246	2.39663	1.65006	1.83978
YIR020C	YIR020C	YIR020C	8.17512	7.82879	9.68938	3.91496	10.8357	8.78564	7.65712	8.61756	10.2606
